,Gameweek,Player Name,Position,Opponent,Team,Gameweek Points,Venue,Home Team Score,Away Team Score,Minutes Played,Goals Scored,Assists,Clean Sheets,Goals Conceded,xG Conceded,Own Goals,Penalties Saved,Penalties Missed,Yellow Cards,Red Cards,Saves,Bonus,xG,xA,Selected By(%),Price,Total Goals Scored,Total Assists,Clean Sheets,Total Clean Sheets,Total Goals Conceded,Total xG Conceded,Total Own Goals,Total Saves,Total Penalties Saved,Total Penalties Missed,Total Yellow Cards,Total Red Cards,Total Bonus,Total Starts,Total xG,Total xA,Total Points
42,8,Elneny,Midfielder,Brentford,Arsenal,0,Away,0.0,3.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6
43,9,Elneny,Midfielder,Spurs,Arsenal,0,Home,3.0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6
44,10,Elneny,Midfielder,Liverpool,Arsenal,0,Home,3.0,2.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6
45,11,Elneny,Midfielder,Leeds,Arsenal,0,Away,0.0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6
46,13,Elneny,Midfielder,Southampton,Arsenal,0,Away,1.0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6
47,14,Elneny,Midfielder,Nott'm Forest,Arsenal,0,Home,5.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6
48,15,Elneny,Midfielder,Chelsea,Arsenal,1,Away,0.0,1.0,3,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6
49,16,Elneny,Midfielder,Wolves,Arsenal,1,Away,0.0,2.0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6
50,17,Elneny,Midfielder,West Ham,Arsenal,1,Home,3.0,1.0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6
51,18,Elneny,Midfielder,Brighton,Arsenal,1,Away,2.0,4.0,16,0,0,0,1,0.46,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6
52,19,Elneny,Midfielder,Newcastle,Arsenal,0,Home,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6
53,20,Elneny,Midfielder,Spurs,Arsenal,0,Away,0.0,2.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6
54,21,Elneny,Midfielder,Man Utd,Arsenal,0,Home,3.0,2.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6
55,22,Elneny,Midfielder,Everton,Arsenal,0,Away,1.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6
56,23,Elneny,Midfielder,Brentford,Arsenal,0,Home,1.0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6
57,23,Elneny,Midfielder,Man City,Arsenal,0,Home,1.0,3.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6
58,24,Elneny,Midfielder,Aston Villa,Arsenal,0,Away,2.0,4.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6
59,25,Elneny,Midfielder,Leicester,Arsenal,0,Away,0.0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6
60,25,Elneny,Midfielder,Everton,Arsenal,0,Home,4.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6
61,26,Elneny,Midfielder,Bournemouth,Arsenal,0,Home,3.0,2.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6
62,27,Elneny,Midfielder,Fulham,Arsenal,0,Away,0.0,3.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6
63,28,Elneny,Midfielder,Crystal Palace,Arsenal,0,Home,4.0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6
64,29,Elneny,Midfielder,Leeds,Arsenal,0,Home,4.0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6
65,30,Elneny,Midfielder,Liverpool,Arsenal,0,Away,2.0,2.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6
66,31,Elneny,Midfielder,West Ham,Arsenal,0,Away,2.0,2.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6
67,32,Elneny,Midfielder,Southampton,Arsenal,0,Home,3.0,3.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6
68,33,Elneny,Midfielder,Man City,Arsenal,0,Away,4.0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6
69,34,Elneny,Midfielder,Chelsea,Arsenal,0,Home,3.0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6
70,35,Elneny,Midfielder,Newcastle,Arsenal,0,Away,0.0,2.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6
71,36,Elneny,Midfielder,Brighton,Arsenal,0,Home,0.0,3.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.6,4.1,0,0,0,0,2,1.29,0,0,0,0,0,0,0,1,0.00,0.04,6
72,1,Holding,Defender,Crystal Palace,Arsenal,0,Away,0.0,2.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21
73,2,Holding,Defender,Leicester,Arsenal,0,Home,4.0,2.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21
74,3,Holding,Defender,Bournemouth,Arsenal,0,Away,0.0,3.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21
75,4,Holding,Defender,Fulham,Arsenal,1,Home,2.0,1.0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21
76,5,Holding,Defender,Aston Villa,Arsenal,1,Home,2.0,1.0,2,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21
77,6,Holding,Defender,Man Utd,Arsenal,0,Away,3.0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21
78,8,Holding,Defender,Brentford,Arsenal,0,Away,0.0,3.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21
79,9,Holding,Defender,Spurs,Arsenal,0,Home,3.0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21
80,10,Holding,Defender,Liverpool,Arsenal,0,Home,3.0,2.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21
81,11,Holding,Defender,Leeds,Arsenal,1,Away,0.0,1.0,8,0,0,0,0,0.14,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21
82,13,Holding,Defender,Southampton,Arsenal,0,Away,1.0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21
83,14,Holding,Defender,Nott'm Forest,Arsenal,0,Home,5.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21
84,15,Holding,Defender,Chelsea,Arsenal,1,Away,0.0,1.0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21
85,16,Holding,Defender,Wolves,Arsenal,0,Away,0.0,2.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21
86,17,Holding,Defender,West Ham,Arsenal,0,Home,3.0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21
87,18,Holding,Defender,Brighton,Arsenal,1,Away,2.0,4.0,3,0,0,0,0,0.14,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21
88,19,Holding,Defender,Newcastle,Arsenal,0,Home,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21
89,20,Holding,Defender,Spurs,Arsenal,0,Away,0.0,2.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21
90,21,Holding,Defender,Man Utd,Arsenal,1,Home,3.0,2.0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21
91,22,Holding,Defender,Everton,Arsenal,0,Away,1.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21
92,23,Holding,Defender,Brentford,Arsenal,0,Home,1.0,1.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21
93,23,Holding,Defender,Man City,Arsenal,0,Home,1.0,3.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21
94,24,Holding,Defender,Aston Villa,Arsenal,1,Away,2.0,4.0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.2,4.2,1,0,0,0,13,11.14,0,0,0,0,0,0,0,6,0.32,0.15,21
