,name,team,element_type,selected_by_percent,now_cost,minutes,total_points,goals_scored,assists,clean_sheets,bonus,position
609,Dale Taylor,Nott'm Forest,4,0.0,4.5,0,0,0,0,0,0,Forward
610,Jordan Smith,Nott'm Forest,1,0.0,4.0,0,0,0,0,0,0,Goalkeeper
611,Gustavo Henrique Furtado Scarpa,Nott'm Forest,3,0.0,4.7,177,5,0,0,0,0,Midfielder
612,Danilo dos Santos de Oliveira,Nott'm Forest,3,0.0,4.5,724,33,2,1,0,5,Midfielder
613,Keylor Navas,Nott'm Forest,1,0.9,4.5,1260,31,0,0,1,3,Goalkeeper
614,Felipe Augusto de Almeida Monteiro,Nott'm Forest,2,0.0,4.5,1159,14,0,1,0,0,Defender
615,André Ayew,Nott'm Forest,3,0.0,5.0,305,10,0,0,0,0,Midfielder
616,George Shelvey,Nott'm Forest,1,0.0,4.0,0,0,0,0,0,0,Goalkeeper
617,Ainsley Maitland-Niles,Southampton,3,0.0,4.8,1229,34,0,1,3,0,Midfielder
618,Roméo Lavia,Southampton,3,0.2,4.5,1894,47,1,0,4,0,Midfielder
619,Theo Walcott,Southampton,3,0.0,4.8,836,38,2,1,2,1,Midfielder
620,Alex McCarthy,Southampton,1,0.1,4.3,180,4,0,0,0,0,Goalkeeper
621,Oriol Romeu Vidal,Southampton,3,0.0,4.8,74,2,0,0,0,0,Midfielder
622,Nathan Redmond,Southampton,3,0.0,5.3,1,1,0,0,0,0,Midfielder
623,Stuart Armstrong,Southampton,3,0.1,4.7,1199,48,2,1,1,2,Midfielder
624,Mohamed Elyounoussi,Southampton,3,0.1,5.1,2012,53,0,1,2,0,Midfielder
625,James Ward-Prowse,Southampton,3,5.1,6.1,3015,116,7,2,4,15,Midfielder
626,Adam Armstrong,Southampton,4,0.7,5.3,1272,47,1,1,1,3,Forward
627,Kyle Walker-Peters,Southampton,2,0.7,4.4,2290,54,1,0,3,2,Defender
628,Jan Bednarek,Southampton,2,0.2,4.2,1410,31,0,0,3,2,Defender
629,Che Adams,Southampton,4,0.8,6.0,1912,92,5,5,4,9,Forward
630,Nathan Tella,Southampton,3,0.0,5.0,0,0,0,0,0,0,Midfielder
631,Lyanco Silveira Neves Vojnovic,Southampton,2,0.0,4.4,851,18,0,0,0,0,Defender
632,Yan Valery,Southampton,2,0.3,4.0,45,0,0,0,0,0,Defender
633,Will Smallbone,Southampton,3,0.0,4.5,0,0,0,0,0,0,Midfielder
634,Ibrahima Diallo,Southampton,3,0.3,4.2,813,19,0,0,0,0,Midfielder
635,Romain Perraud,Southampton,2,0.6,4.1,1828,71,2,2,4,5,Defender
636,Moussa Djenepo,Southampton,3,0.1,5.0,685,27,0,2,0,0,Midfielder
637,Tino Livramento,Southampton,2,0.0,4.4,0,0,0,0,0,0,Defender
638,Mohammed Salisu,Southampton,2,0.1,4.3,1971,33,0,1,1,2,Defender
639,Mateusz Lis,Southampton,1,0.1,4.0,0,0,0,0,0,0,Goalkeeper
640,Gavin Bazunu,Southampton,1,0.6,4.4,2880,84,0,0,4,3,Goalkeeper
641,Armel Bella-Kotchap,Southampton,2,0.2,4.5,1844,49,0,2,3,5,Defender
642,Willy Caballero,Southampton,1,0.7,3.8,0,0,0,0,0,0,Goalkeeper
643,Joe Ayodele-Aribo,Southampton,3,0.3,5.0,1150,44,2,0,1,3,Midfielder
644,Sékou Mara,Southampton,4,0.1,5.3,510,31,1,2,0,0,Forward
645,Juan Larios López,Southampton,2,0.0,4.0,150,4,0,0,0,0,Defender
646,Duje Caleta-Car,Southampton,2,0.0,4.4,942,28,1,0,1,2,Defender
647,Samuel Edozie,Southampton,3,0.0,4.6,540,22,0,0,1,0,Midfielder
648,Lewis Payne,Southampton,3,0.0,4.5,0,0,0,0,0,0,Midfielder
649,Ryan Finnigan,Southampton,3,0.0,4.5,0,0,0,0,0,0,Midfielder
650,Jimmy Morgan,Southampton,4,0.0,4.5,0,0,0,0,0,0,Forward
651,Mislav Orsic,Southampton,3,0.0,5.1,6,1,0,0,0,0,Midfielder
652,Carlos Alcaraz,Southampton,3,0.0,5.0,717,40,3,1,0,4,Midfielder
653,James Bree,Southampton,2,0.0,4.5,200,4,0,0,0,0,Defender
654,Kamaldeen Sulemana,Southampton,3,0.0,4.9,798,28,0,1,3,1,Midfielder
655,Paul Onuachu,Southampton,4,0.0,5.4,326,11,0,0,1,0,Forward
656,Hugo Lloris,Spurs,1,3.2,5.4,2205,89,0,0,7,12,Goalkeeper
657,Fraser Forster,Spurs,1,4.1,3.9,855,31,0,0,2,1,Goalkeeper
658,Harry Kane,Spurs,4,29.3,11.4,3046,225,25,8,10,40,Forward
659,Son Heung-min,Spurs,3,6.0,11.5,2543,140,10,5,8,8,Midfielder
660,Matt Doherty,Spurs,2,0.3,4.6,663,35,1,0,3,2,Defender
661,Eric Dier,Spurs,2,5.5,5.0,2814,95,2,1,9,5,Defender
662,Lucas Rodrigues Moura da Silva,Spurs,3,0.2,5.8,120,10,0,0,0,0,Midfielder
663,Ben Davies,Spurs,2,1.0,4.7,1931,90,2,3,8,3,Defender
664,Pierre-Emile Højbjerg,Spurs,3,1.9,5.3,2951,115,4,5,9,10,Midfielder
665,Harry Winks,Spurs,3,0.6,4.4,0,0,0,0,0,0,Midfielder
666,Davinson Sánchez,Spurs,2,0.5,4.2,668,25,0,0,2,1,Defender
667,Ryan Sessegnon,Spurs,2,0.5,4.4,805,35,2,1,1,0,Defender
668,Steven Bergwijn,Spurs,3,0.0,5.5,0,0,0,0,0,0,Midfielder
669,Sergio Reguilón,Spurs,2,0.3,4.2,0,0,0,0,0,0,Defender
670,Japhet Tanganga,Spurs,2,2.4,3.8,145,4,0,0,0,0,Defender
671,Rodrigo Bentancur,Spurs,3,0.3,5.3,1501,71,5,2,6,7,Midfielder
672,Oliver Skipp,Spurs,3,0.1,4.3,1159,35,1,0,3,1,Midfielder
673,Joe Rodon,Spurs,2,0.0,4.0,0,0,0,0,0,0,Defender
674,Cristian Romero,Spurs,2,1.5,4.9,2183,59,0,2,7,2,Defender
675,Yves Bissouma,Spurs,3,0.2,4.7,803,23,0,0,1,0,Midfielder
676,Emerson Leite de Souza Junior,Spurs,2,1.8,4.8,1385,76,2,2,6,9,Defender
677,Dejan Kulusevski,Spurs,3,3.6,7.8,1883,86,2,6,7,5,Midfielder
678,Dane Scarlett,Spurs,4,0.0,4.5,0,0,0,0,0,0,Forward
679,Ivan Perišić,Spurs,2,15.1,5.3,2093,92,1,8,6,6,Defender
680,Harvey White,Spurs,3,0.3,4.4,4,1,0,0,0,0,Midfielder
681,Pape Matar Sarr,Spurs,3,0.5,4.2,188,10,0,0,0,0,Midfielder
682,Brandon Austin,Spurs,1,0.3,3.9,0,0,0,0,0,0,Goalkeeper
683,Alfie Devine,Spurs,3,0.1,4.3,0,0,0,0,0,0,Midfielder
684,Troy Parrott,Spurs,4,0.1,4.5,0,0,0,0,0,0,Forward
685,Richarlison de Andrade,Spurs,4,0.7,8.4,827,48,1,5,2,2,Forward
686,Clément Lenglet,Spurs,2,0.3,4.8,1661,54,0,2,4,6,Defender
687,Djed Spence,Spurs,2,0.2,4.1,5,4,0,0,0,0,Defender
688,Bryan Gil Salvatierra,Spurs,3,0.0,5.0,146,9,0,1,1,0,Midfielder
689,Arnaut Danjuma,Spurs,3,0.0,6.1,87,11,1,0,0,0,Midfielder
690,Pedro Porro,Spurs,2,0.8,4.8,857,32,2,1,1,0,Defender
691,Romaine Mundle,Spurs,3,0.0,4.5,0,0,0,0,0,0,Midfielder
692,George Abbott,Spurs,3,0.0,4.5,0,0,0,0,0,0,Midfielder
693,Danny Ings,West Ham,4,1.6,6.4,1356,86,8,0,5,13,Forward
694,Lukasz Fabianski,West Ham,1,1.2,4.9,2661,111,0,0,8,9,Goalkeeper
695,Angelo Ogbonna,West Ham,2,0.1,4.4,874,34,0,0,3,4,Defender
696,Aaron Cresswell,West Ham,2,1.6,4.7,1985,66,0,1,5,8,Defender
697,Michail Antonio,West Ham,4,2.0,7.0,1604,78,5,3,4,4,Forward
698,Manuel Lanzini,West Ham,3,0.1,5.0,143,7,0,0,0,0,Midfielder
699,Kurt Zouma,West Ham,2,1.8,4.4,1943,87,2,1,7,8,Defender
700,Arthur Masuaku,West Ham,2,0.0,4.5,0,0,0,0,0,0,Defender
701,Vladimir Coufal,West Ham,2,1.4,4.0,1894,53,0,2,4,2,Defender
702,Saïd Benrahma,West Ham,3,1.1,5.5,1870,91,5,3,5,2,Midfielder
703,Jarrod Bowen,West Ham,3,3.6,8.0,2946,125,5,8,8,6,Midfielder
704,Nikola Vlasic,West Ham,3,0.0,5.0,0,0,0,0,0,0,Midfielder
705,Declan Rice,West Ham,3,3.2,4.7,2970,101,3,3,8,10,Midfielder
706,Tomas Soucek,West Ham,3,0.6,5.0,2574,94,2,4,7,6,Midfielder
707,Pablo Fornals Malla,West Ham,3,0.3,4.9,1163,55,2,1,1,3,Midfielder
708,Ben Johnson,West Ham,2,0.1,4.4,740,26,0,0,2,1,Defender
709,Nayef Aguerd,West Ham,2,0.4,4.8,1324,48,2,0,4,3,Defender
710,Alphonse Areola,West Ham,1,0.9,4.3,307,7,0,0,0,0,Goalkeeper
711,Flynn Downes,West Ham,3,0.3,4.2,486,21,0,0,1,0,Midfielder
712,Gianluca Scamacca,West Ham,4,0.6,6.6,921,41,3,0,3,7,Forward
713,Emerson Palmieri dos Santos,West Ham,2,1.4,4.0,1027,33,1,0,2,2,Defender
714,Conor Coventry,West Ham,3,0.1,4.4,1,1,0,0,0,0,Midfielder
715,Armstrong Oko-Flex,West Ham,3,0.0,4.4,0,0,0,0,0,0,Midfielder
716,Maxwel Cornet,West Ham,3,0.1,5.9,155,12,0,0,0,0,Midfielder
717,Thilo Kehrer,West Ham,2,0.2,4.3,1914,58,0,3,4,4,Defender
718,Lucas Tolentino Coelho de Lima,West Ham,3,0.9,5.9,1814,87,4,4,5,8,Midfielder
719,Divin Mubama,West Ham,4,0.1,4.5,3,1,0,0,0,0,Forward
720,Joseph Anang,West Ham,1,0.0,4.0,0,0,0,0,0,0,Goalkeeper
721,Krisztián Hegyi,West Ham,1,0.0,3.9,0,0,0,0,0,0,Goalkeeper
722,Kaelan Casey,West Ham,2,0.0,4.0,0,0,0,0,0,0,Defender
723,Craig Dawson,Wolves,2,0.9,4.8,1864,67,1,1,6,6,Defender
724,Raúl Jiménez,Wolves,4,0.3,6.6,737,26,0,2,2,0,Forward
725,Jonathan Castro Otto,Wolves,2,0.3,4.3,1257,45,1,0,5,0,Defender
726,José Malheiro de Sá,Wolves,1,5.5,5.0,3060,138,0,0,10,16,Goalkeeper
727,Rúben da Silva Neves,Wolves,3,1.6,5.2,2708,107,6,1,8,16,Midfielder
728,Hwang Hee-chan,Wolves,3,0.2,5.7,911,45,2,2,2,0,Midfielder
729,Nélson Cabral Semedo,Wolves,2,0.8,5.0,2273,68,0,1,7,5,Defender
730,Daniel Castelo Podence,Wolves,3,0.7,5.2,1662,88,6,1,5,10,Midfielder
731,Max Kilman,Wolves,2,3.3,4.3,3060,101,0,1,10,11,Defender
732,Luke Cundle,Wolves,3,0.2,4.4,0,0,0,0,0,0,Midfielder
733,Pedro Lomba Neto,Wolves,3,1.6,4.9,834,33,0,2,4,0,Midfielder
734,Rayan Aït-Nouri,Wolves,2,0.7,4.1,1022,41,1,0,4,0,Defender
735,Fabio Silva,Wolves,4,0.0,5.5,0,0,0,0,0,0,Forward
736,Toti António Gomes,Wolves,2,2.4,3.8,715,24,0,0,3,1,Defender
737,Francisco Jorge Tomás Oliveira,Wolves,3,0.0,5.0,0,0,0,0,0,0,Midfielder
738,Adama Traoré Diarra,Wolves,3,0.3,5.3,1279,57,2,3,1,0,Midfielder
739,Matija Šarkić,Wolves,1,1.5,3.9,0,0,0,0,0,0,Goalkeeper
740,Yerson Mosquera Valdelamar,Wolves,2,0.9,3.9,0,0,0,0,0,0,Defender
741,João Filipe Iria Santos Moutinho,Wolves,3,0.3,4.6,1772,55,0,2,6,0,Midfielder
742,Nathan Collins,Wolves,2,0.5,4.3,1624,46,0,0,4,6,Defender
743,Jackson Smith,Wolves,1,0.7,3.9,0,0,0,0,0,0,Goalkeeper
744,Hugo Bueno López,Wolves,2,3.2,3.8,1234,40,0,1,3,3,Defender
745,Joseph Hodge,Wolves,3,0.0,4.3,167,4,0,0,0,0,Midfielder
746,Connor Ronan,Wolves,3,0.1,4.4,1,1,0,0,0,0,Midfielder
747,Chem Campbell,Wolves,3,0.3,4.4,68,5,0,0,0,0,Midfielder
748,Gonçalo Manuel Ganchinho Guedes,Wolves,3,0.2,5.8,703,29,1,1,2,1,Midfielder
749,Matheus Luiz Nunes,Wolves,3,0.2,4.8,2222,74,1,1,10,5,Midfielder
750,Sasa Kalajdzic,Wolves,4,0.0,5.3,45,1,0,0,0,0,Forward
751,Diego Da Silva Costa,Wolves,4,0.3,5.3,1056,30,1,0,5,3,Forward
752,Boubacar Traoré,Wolves,3,0.1,4.3,380,12,0,1,0,0,Midfielder
753,Nathan Fraser,Wolves,4,0.1,4.5,0,0,0,0,0,0,Forward
754,Harvey Griffiths,Wolves,3,0.0,4.4,0,0,0,0,0,0,Midfielder
755,Dexter Lembikisa,Wolves,2,0.0,4.0,22,1,0,0,0,0,Defender
756,Matheus Santos Carneiro Da Cunha,Wolves,4,0.2,5.3,832,34,2,0,4,6,Forward
757,Mario Lemina,Wolves,3,0.0,4.5,1027,27,0,1,4,0,Midfielder
758,Pablo Sarabia,Wolves,3,0.1,5.0,695,24,1,0,2,3,Midfielder
759,Daniel Bentley,Wolves,1,0.0,4.0,0,0,0,0,0,0,Goalkeeper
760,João Victor Gomes da Silva,Wolves,3,0.0,4.5,475,17,1,0,2,2,Midfielder
