,name,team,element_type,selected_by_percent,now_cost,minutes,total_points,goals_scored,assists,clean_sheets,bonus,position
90,Philip Billing,Bournemouth,3,1.2,5.2,2535,121,7,2,9,14,Midfielder
91,Chris Mepham,Bournemouth,2,0.1,4.3,2107,42,0,0,5,6,Defender
92,Mark Travers,Bournemouth,1,0.4,4.2,945,25,0,0,2,1,Goalkeeper
93,Lloyd Kelly,Bournemouth,2,0.5,4.3,1680,54,0,2,5,5,Defender
94,Siriki Dembélé,Bournemouth,3,0.1,4.7,104,6,0,0,0,0,Midfielder
95,Jaidon Anthony,Bournemouth,3,0.1,5.2,1120,56,3,1,2,4,Midfielder
96,Jordan Zemura,Bournemouth,2,0.1,4.2,1452,47,0,1,5,1,Defender
97,Will Dennis,Bournemouth,1,0.4,3.9,0,0,0,0,0,0,Goalkeeper
98,Jack Stephens,Bournemouth,2,0.1,4.3,1218,35,0,0,4,1,Defender
99,Joe Rothwell,Bournemouth,3,0.0,4.9,872,30,0,1,3,0,Midfielder
100,Marcus Tavernier,Bournemouth,3,0.2,4.7,1740,94,5,4,5,12,Midfielder
101,James Hill,Bournemouth,2,0.0,4.4,0,0,0,0,0,0,Defender
102,Darren Randolph,Bournemouth,1,0.1,4.0,0,0,0,0,0,0,Goalkeeper
103,Norberto Murara Neto,Bournemouth,1,0.6,4.5,2115,87,0,0,6,9,Goalkeeper
104,Marcos Senesi,Bournemouth,2,0.2,4.4,2219,66,2,0,5,5,Defender
105,Christian Saydee,Bournemouth,4,0.0,4.5,0,0,0,0,0,0,Forward
106,Owen Bevan,Bournemouth,2,0.0,4.0,8,1,0,0,0,0,Defender
107,Cameron Plain,Bournemouth,1,0.0,4.0,0,0,0,0,0,0,Goalkeeper
108,Daniel Adu-Adjei,Bournemouth,4,0.0,4.5,0,0,0,0,0,0,Forward
109,Michael Dacosta Gonzalez,Bournemouth,3,0.0,4.4,0,0,0,0,0,0,Midfielder
110,Dominic Sadi,Bournemouth,4,0.0,4.5,0,0,0,0,0,0,Forward
111,Dango Ouattara,Bournemouth,3,0.0,5.0,963,42,1,3,1,4,Midfielder
112,Euan Pollock,Bournemouth,4,0.0,4.5,0,0,0,0,0,0,Forward
113,Antoine Semenyo,Bournemouth,4,0.0,5.0,244,17,1,0,0,1,Forward
114,Matías Viña,Bournemouth,2,0.0,4.5,245,19,1,0,1,0,Defender
115,Illia Zabarnyi,Bournemouth,2,0.0,4.5,27,2,0,0,0,0,Defender
116,Hamed Traorè,Bournemouth,3,0.0,4.5,425,14,0,0,2,0,Midfielder
117,Ben Greenwood,Bournemouth,2,0.0,4.0,0,0,0,0,0,0,Defender
118,Max Kinsey-Wellings,Bournemouth,2,0.0,4.0,0,0,0,0,0,0,Defender
119,Pontus Jansson,Brentford,2,0.3,4.2,722,29,1,0,2,0,Defender
120,Christian Nørgaard,Brentford,3,0.2,5.3,1763,71,1,6,6,6,Midfielder
121,Ivan Toney,Brentford,4,31.5,7.5,2863,180,20,4,10,35,Forward
122,David Raya Martin,Brentford,1,16.0,4.9,3060,146,0,0,10,20,Goalkeeper
123,Sergi Canós Tenés,Brentford,2,0.1,5.0,73,5,0,0,0,0,Defender
124,Josh Dasilva,Brentford,3,3.5,4.1,1319,77,4,2,5,3,Midfielder
125,Kristoffer Ajer,Brentford,2,0.1,4.5,763,29,0,0,4,0,Defender
126,Rico Henry,Brentford,2,3.2,4.5,2899,97,0,3,9,3,Defender
127,Vitaly Janelt,Brentford,3,0.1,5.5,1850,76,3,1,6,5,Midfielder
128,Saman Ghoddos,Brentford,3,0.0,4.8,119,13,0,0,0,0,Midfielder
129,Mathias Jensen,Brentford,3,2.1,4.8,2584,122,5,6,9,11,Midfielder
130,Yoane Wissa,Brentford,3,0.2,5.3,1333,88,5,3,5,4,Midfielder
131,Mads Roerslev Rasmussen,Brentford,2,0.1,4.3,1094,45,0,0,5,0,Defender
132,Mads Bech Sørensen,Brentford,2,0.0,4.5,18,4,0,0,0,0,Defender
133,Ethan Pinnock,Brentford,2,1.0,4.4,2340,86,2,0,8,2,Defender
134,Frank Onyeka,Brentford,3,0.0,4.8,621,31,0,3,2,0,Midfielder
135,Shandon Baptiste,Brentford,3,0.2,4.5,552,25,0,2,1,0,Midfielder
136,Bryan Mbeumo,Brentford,4,3.5,5.7,2547,119,6,7,8,13,Forward
137,Charlie Goode,Brentford,2,0.4,3.9,0,0,0,0,0,0,Defender
138,Marcus Forss,Brentford,4,0.0,4.5,0,0,0,0,0,0,Forward
139,Dominic Thompson,Brentford,2,0.0,4.0,0,0,0,0,0,0,Defender
140,Mads Bidstrup,Brentford,3,0.0,4.5,0,0,0,0,0,0,Midfielder
141,Ellery Balcombe,Brentford,1,0.0,4.0,0,0,0,0,0,0,Goalkeeper
142,Aaron Hickey,Brentford,2,0.3,4.9,1590,45,0,2,3,2,Defender
143,Keane Lewis-Potter,Brentford,3,0.0,5.2,313,14,0,1,0,0,Midfielder
144,Thomas Strakosha,Brentford,1,0.1,4.3,0,0,0,0,0,0,Goalkeeper
145,Ben Mee,Brentford,2,16.7,5.0,2909,122,3,1,10,9,Defender
146,Fin Stevens,Brentford,2,0.1,4.0,0,0,0,0,0,0,Defender
147,Halil Dervişoğlu,Brentford,4,0.5,4.5,6,4,0,1,0,0,Forward
148,Mikkel Damsgaard,Brentford,3,0.1,5.0,772,26,0,0,1,0,Midfielder
149,Mathias Jorgensen,Brentford,2,0.9,3.9,905,36,0,1,3,3,Defender
150,Ryan Trevitt,Brentford,3,0.0,4.4,0,0,0,0,0,0,Midfielder
151,Matthew Cox,Brentford,1,0.0,3.9,0,0,0,0,0,0,Goalkeeper
152,Tristan Crama,Brentford,2,0.0,4.0,0,0,0,0,0,0,Defender
153,Yegor Yarmolyuk,Brentford,3,0.0,4.5,0,0,0,0,0,0,Midfielder
154,Kevin Schade,Brentford,3,0.0,4.9,523,22,0,1,2,0,Midfielder
155,Michael Olakigbe,Brentford,3,0.0,4.5,0,0,0,0,0,0,Midfielder
156,Adam Lallana,Brighton,3,0.1,4.8,717,47,2,1,5,4,Midfielder
157,Jason Steele,Brighton,1,4.2,4.0,720,44,0,1,4,6,Goalkeeper
158,Danny Welbeck,Brighton,4,1.3,6.5,1541,83,6,5,5,5,Forward
159,Pascal Groß,Brighton,3,9.1,5.4,2722,135,8,6,10,11,Midfielder
